Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
182,2020-07-15 14:58:01.626948,1,247.2,26.4,7.5,null,normal
183,2020-07-15 14:58:01.826948,1,252.2,28.2,7.8,null,normal
184,2020-07-15 14:58:02.026948,1,250.2,27.2,7.7,null,normal
185,2020-07-15 14:58:02.226948,1,251.1,27.9,7.7,null,normal
186,2020-07-15 14:58:02.426948,1,231.7,26.0,7.2,null,normal
187,2020-07-15 14:58:02.626948,1,257.0,29.5,7.8,null,normal
188,2020-07-15 14:58:02.826948,1,246.7,26.8,7.7,null,normal
189,2020-07-15 14:58:03.026948,1,263.9,29.6,8.1,null,normal
190,2020-07-15 14:58:03.226948,1,254.9,27.3,8.1,null,normal
191,2020-07-15 14:58:03.426948,1,234.4,25.5,7.2,null,normal
192,2020-07-15 14:58:03.626948,1,253.1,29.1,7.9,null,normal
193,2020-07-15 14:58:03.826948,1,255.4,29.8,7.9,null,normal
194,2020-07-15 14:58:04.026948,1,241.1,25.9,7.5,null,normal
195,2020-07-15 14:58:04.226948,1,260.5,29.3,8.0,null,normal
196,2020-07-15 14:58:04.426948,1,252.3,28.6,7.9,null,normal
197,2020-07-15 14:58:04.626948,1,262.3,29.5,8.0,null,normal
198,2020-07-15 14:58:04.826948,1,262.3,29.9,8.0,null,normal
199,2020-07-15 14:58:05.026948,1,251.9,27.8,7.8,null,normal
200,2020-07-15 14:58:05.226948,1,259.5,28.9,8.1,null,normal
201,2020-07-15 14:58:05.426948,1,245.2,28.4,7.6,null,normal
202,2020-07-15 14:58:05.626948,1,258.6,26.9,7.9,null,normal
203,2020-07-15 14:58:05.826948,1,248.9,27.5,7.5,null,normal
204,2020-07-15 14:58:06.026948,1,255.9,27.7,7.8,null,normal
205,2020-07-15 14:58:06.226948,1,266.9,31.1,8.1,null,normal
206,2020-07-15 14:58:06.426948,1,251.8,26.6,7.7,null,normal
207,2020-07-15 14:58:06.626948,1,262.7,28.5,8.1,null,normal
208,2020-07-15 14:58:06.826948,1,241.9,27.1,7.4,null,normal
209,2020-07-15 14:58:07.026948,1,253.0,27.7,7.9,null,normal
210,2020-07-15 14:58:07.226948,1,241.2,27.2,7.4,null,normal
211,2020-07-15 14:58:07.426948,1,246.5,27.4,7.6,null,normal
212,2020-07-15 14:58:07.626948,1,250.9,30.0,7.8,null,normal
213,2020-07-15 14:58:07.826948,1,251.1,26.9,8.0,null,normal
214,2020-07-15 14:58:08.026948,1,242.1,26.8,7.5,null,normal
215,2020-07-15 14:58:08.226948,1,253.4,27.3,7.8,null,normal
216,2020-07-15 14:58:08.426948,1,270.7,31.2,8.4,null,normal
217,2020-07-15 14:58:08.626948,1,270.3,30.0,8.2,null,normal
218,2020-07-15 14:58:08.826948,1,254.7,28.4,7.9,null,normal
219,2020-07-15 14:58:09.026948,1,262.6,29.4,8.1,null,normal
220,2020-07-15 14:58:09.226948,1,239.6,27.0,7.4,null,normal
221,2020-07-15 14:58:09.426948,1,262.9,30.5,8.1,null,normal
222,2020-07-15 14:58:09.626948,1,262.6,29.5,8.1,null,normal
223,2020-07-15 14:58:09.826948,1,249.5,28.3,7.7,null,normal
224,2020-07-15 14:58:10.026948,1,244.7,26.4,7.7,null,normal
225,2020-07-15 14:58:10.226948,1,247.5,27.7,7.6,null,normal
226,2020-07-15 14:58:10.426948,1,252.2,28.0,7.7,null,normal
227,2020-07-15 14:58:10.626948,1,255.5,29.0,7.8,null,normal
228,2020-07-15 14:58:10.826948,1,245.9,26.5,7.7,null,normal
229,2020-07-15 14:58:11.026948,1,251.7,27.9,7.9,null,normal
230,2020-07-15 14:58:11.226948,1,246.2,27.4,7.5,null,normal
231,2020-07-15 14:58:11.426948,1,242.4,26.7,7.5,null,normal
232,2020-07-15 14:58:11.626948,1,253.0,28.5,7.8,null,normal
233,2020-07-15 14:58:11.826948,1,236.1,27.4,7.2,null,normal
234,2020-07-15 14:58:12.026948,1,261.5,28.6,8.0,null,normal
235,2020-07-15 14:58:12.226948,1,234.3,27.5,7.1,null,normal
236,2020-07-15 14:58:12.426948,1,236.5,25.7,7.2,null,normal
237,2020-07-15 14:58:12.626948,1,262.0,28.5,8.1,null,normal
238,2020-07-15 14:58:12.826948,1,247.8,28.5,7.7,null,normal
239,2020-07-15 14:58:13.026948,1,261.0,29.7,8.1,null,normal
240,2020-07-15 14:58:13.226948,1,254.8,28.0,7.7,null,normal
241,2020-07-15 14:58:13.426948,1,246.3,28.3,7.5,null,normal
242,2020-07-15 14:58:13.626948,1,250.2,28.1,7.7,null,normal
243,2020-07-15 14:58:13.826948,1,255.0,29.6,7.8,null,normal
244,2020-07-15 14:58:14.026948,1,251.9,29.9,7.7,null,normal
245,2020-07-15 14:58:14.226948,1,269.4,29.4,8.3,null,normal
246,2020-07-15 14:58:14.426948,1,268.4,28.9,8.4,null,normal
247,2020-07-15 14:58:14.626948,1,260.7,27.9,8.0,null,normal
248,2020-07-15 14:58:14.826948,1,250.2,26.4,7.8,null,normal
249,2020-07-15 14:58:15.026948,1,254.3,28.8,7.7,null,normal
250,2020-07-15 14:58:15.226948,1,260.6,27.8,7.9,null,normal
251,2020-07-15 14:58:15.426948,1,244.8,26.4,7.5,null,normal
252,2020-07-15 14:58:15.626948,1,255.6,28.0,7.9,null,normal
253,2020-07-15 14:58:15.826948,1,254.7,27.0,7.8,null,normal
254,2020-07-15 14:58:16.026948,1,259.4,28.7,7.9,null,normal
255,2020-07-15 14:58:16.226948,1,256.4,29.3,7.9,null,normal
256,2020-07-15 14:58:16.426948,1,260.3,29.7,8.0,null,normal
257,2020-07-15 14:58:16.626948,1,259.2,28.8,7.9,null,normal
